player,position,MIN,FGM,FGA,3PTM,3PTA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,starter,date,opponent,location
M. Relphorde,F,20,0,6,0,2,0,0,2,3,5,1,2,0,3,2,0,TRUE,2010-01-23,Texas A&M,A
A. Dufault,F,33,5,9,3,4,0,0,1,2,3,1,1,0,0,1,13,TRUE,2010-01-23,Texas A&M,A
C. Higgins,G,35,6,11,0,1,7,8,0,3,3,0,4,0,2,2,19,TRUE,2010-01-23,Texas A&M,A
N. Tomlinson,G,23,0,3,0,3,0,0,0,0,0,6,0,0,3,2,0,TRUE,2010-01-23,Texas A&M,A
A. Burks,G,32,8,16,0,0,3,3,2,1,3,0,2,0,0,3,19,TRUE,2010-01-23,Texas A&M,A
C. Crawford,F,20,1,2,0,0,0,0,0,3,3,0,0,0,0,2,2,FALSE,2010-01-23,Texas A&M,A
S. Harris-TunksS,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE,2010-01-23,Texas A&M,A
L. Knutson,G,7,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,FALSE,2010-01-23,Texas A&M,A
D. Thorne II,G,28,4,7,2,2,0,0,2,2,4,1,1,0,1,3,10,FALSE,2010-01-23,Texas A&M,A
TEAM,NA,NA,24,56,5,14,10,11,8,20,28,9,10,0,10,18,63,FALSE,2010-01-23,Texas A&M,A
